[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.min.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2024-09-22 05:25:29] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2024-09-22 05:25:30] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/WPXVItzel/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css
